id,assignment_id,scope_name,description,payment_system,borongan_value,progress_pct_done,status,start_date,end_date,created_at,updated_at,borongan_value_override,rab_category_id,contract_pdf_url,contract_signed_at,mandor_signature_url,pm_signature_url,contract_status
ab010000-0000-0000-0000-000000000001,fa010000-0000-0000-0000-000000000001,Pekerjaan Struktur & Bata,"Pondasi, sloof, kolom, ring balok, pasang bata",borongan,85000000.00,100.00,completed,2026-01-31T17:00:00.000Z,2026-04-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab010000-0000-0000-0000-000000000002,fa010000-0000-0000-0000-000000000001,Pekerjaan Finishing,"Plester, acian, keramik, cat, finishing",progress_pct,65000000.00,60.00,active,2026-04-15T17:00:00.000Z,2026-07-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab010000-0000-0000-0000-000000000003,fa010000-0000-0000-0000-000000000002,Pekerjaan Plumbing,"Instalasi pipa air bersih, air kotor, sanitasi",harian,,70.00,active,2026-02-28T17:00:00.000Z,2026-06-29T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab010000-0000-0000-0000-000000000004,fa010000-0000-0000-0000-000000000002,Pekerjaan Elektrikal,"Instalasi kabel, panel listrik, saklar, stop kontak",harian,,50.00,active,2026-03-31T17:00:00.000Z,2026-07-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab020000-0000-0000-0000-000000000001,fa020000-0000-0000-0000-000000000001,Struktur Lantai 1,"Pondasi, kolom, balok, dinding lantai 1",borongan,120000000.00,75.00,active,2026-03-14T17:00:00.000Z,2026-07-30T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab020000-0000-0000-0000-000000000002,fa020000-0000-0000-0000-000000000002,Struktur Lantai 2,"Kolom, balok, pelat lantai 2, atap",progress_pct,95000000.00,15.00,active,2026-04-30T17:00:00.000Z,2026-09-29T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab030000-0000-0000-0000-000000000001,fa030000-0000-0000-0000-000000000001,Renovasi Dapur,"Bongkar dan bangun ulang dapur: keramik, kabinet, plumbing",borongan,45000000.00,90.00,active,2026-03-31T17:00:00.000Z,2026-06-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab030000-0000-0000-0000-000000000002,fa030000-0000-0000-0000-000000000001,Renovasi 2 Kamar Mandi,"Renovasi total 2 KM: keramik, sanitasi, shower, closet",borongan,32000000.00,80.00,active,2026-03-31T17:00:00.000Z,2026-06-19T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab040000-0000-0000-0000-000000000001,fa040000-0000-0000-0000-000000000001,Carport 2 Mobil,Konstruksi carport baja ringan atap polycarbonate,borongan,28000000.00,100.00,completed,2026-01-09T17:00:00.000Z,2026-02-27T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab040000-0000-0000-0000-000000000002,fa040000-0000-0000-0000-000000000001,Pagar Besi Hollow,Pagar depan besi hollow finishing cat,borongan,15000000.00,100.00,completed,2026-01-31T17:00:00.000Z,2026-03-09T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab050000-0000-0000-0000-000000000001,fa050000-0000-0000-0000-000000000001,Renovasi Fasad,"Cat ulang fasad, pasang batu alam aksen, perbaikan plester",borongan,75000000.00,20.00,active,2026-04-30T17:00:00.000Z,2026-07-30T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab050000-0000-0000-0000-000000000002,fa050000-0000-0000-0000-000000000001,Taman & Landscape,"Penataan taman depan, grass block, tanaman hias",harian,,10.00,active,2026-05-31T17:00:00.000Z,2026-08-14T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab060000-0000-0000-0000-000000000001,fa060000-0000-0000-0000-000000000001,Struktur 3 Lantai,"Pondasi, kolom, balok, dinding 3 lantai",borongan,220000000.00,35.00,active,2026-01-14T17:00:00.000Z,2026-09-29T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
ab060000-0000-0000-0000-000000000002,fa060000-0000-0000-0000-000000000002,Finishing & Interior,"Plester, acian, keramik, cat, plafon gypsum",progress_pct,85000000.00,0.00,active,2026-06-30T17:00:00.000Z,2026-11-29T17:00:00.000Z,2026-06-13T16:41:44.391Z,2026-06-13T16:41:44.391Z,,,,,,,unsigned
